Source: 3	|Value: 294	|Time: 1.2.2023. 21:33:19
Source:3	|Value: 277	|Time: 1.2.2023. 21:33:22
Source:1	|Value: 410	|Time: 1.2.2023. 21:33:29
Source:3	|Value: 310	|Time: 1.2.2023. 21:33:33
Source:1	|Value: 401	|Time: 1.2.2023. 21:33:38
Source:1	|Value: 379	|Time: 1.2.2023. 21:33:45
Source:1	|Value: 216	|Time: 1.2.2023. 21:33:49
Source:3	|Value: 381	|Time: 1.2.2023. 21:33:54
Source:1	|Value: 252	|Time: 1.2.2023. 21:33:58
Source:3	|Value: 359	|Time: 1.2.2023. 21:34:05
Source:1	|Value: 222	|Time: 1.2.2023. 21:34:10
Source:1	|Value: 300	|Time: 1.2.2023. 21:34:16
Source:1	|Value: 196	|Time: 1.2.2023. 21:34:22
Source:3	|Value: 179	|Time: 1.2.2023. 21:34:29
Source:1	|Value: 286	|Time: 1.2.2023. 21:34:34
Source:3	|Value: 197	|Time: 1.2.2023. 21:34:41
Source:3	|Value: 261	|Time: 1.2.2023. 21:34:45
Source:3	|Value: 419	|Time: 1.2.2023. 21:34:49
Source:1	|Value: 244	|Time: 1.2.2023. 21:34:55
Source:3	|Value: 338	|Time: 1.2.2023. 21:35:01
Source:3	|Value: 349	|Time: 1.2.2023. 21:35:05
Source:3	|Value: 264	|Time: 1.2.2023. 21:35:08
Source:3	|Value: 386	|Time: 1.2.2023. 21:35:13
Source:1	|Value: 236	|Time: 1.2.2023. 21:35:18
Source:1	|Value: 203	|Time: 1.2.2023. 21:35:24
Source:1	|Value: 243	|Time: 1.2.2023. 21:35:27
Source:1	|Value: 320	|Time: 1.2.2023. 21:35:32
Source:3	|Value: 415	|Time: 1.2.2023. 21:35:36
Source:1	|Value: 334	|Time: 1.2.2023. 21:35:40
Source:3	|Value: 184	|Time: 1.2.2023. 21:35:44
Source:1	|Value: 272	|Time: 1.2.2023. 21:35:48
Source:3	|Value: 424	|Time: 1.2.2023. 21:35:53
Source:1	|Value: 338	|Time: 1.2.2023. 21:35:57
Source:3	|Value: 408	|Time: 1.2.2023. 21:36:01
Source:3	|Value: 300	|Time: 1.2.2023. 21:36:05
Source:3	|Value: 317	|Time: 1.2.2023. 21:36:08
Source:3	|Value: 214	|Time: 1.2.2023. 21:36:15
Source:1	|Value: 276	|Time: 1.2.2023. 21:36:18
Source:3	|Value: 281	|Time: 1.2.2023. 21:36:21
Source:3	|Value: 267	|Time: 1.2.2023. 21:36:27
Source:1	|Value: 382	|Time: 1.2.2023. 21:36:33
Source:1	|Value: 234	|Time: 1.2.2023. 21:36:39
Source:1	|Value: 278	|Time: 1.2.2023. 21:36:46
Source:3	|Value: 387	|Time: 1.2.2023. 21:36:49
Source:1	|Value: 350	|Time: 1.2.2023. 21:36:55
Source:3	|Value: 323	|Time: 1.2.2023. 21:37:01
